circular_no,name,date,link
3.3.17,"Implementation of GST Act, 2017 in NHAI- Exemption of application of GST on Annuity payments-reg.",23.10.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.17.pdf
3.3.16,"Implementation of GST Act, 2017 in NHAI - Consequential Changes in Law, Procedure to be followed for various payments - reg.",04.10.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.16.pdf
3.3.15,Consolidated emoluments payable to the Short-term contract employees in NHAI,04.10.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.15.pdf
3.3.14,"Clarification on Applicability of GST on Hybrid Annuity Projects, which are in bidding stage for uniformity-reg.",29.09.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.14.pdf
3.3.13,Liability of the Service Tax payable on the services as per notification no 30/2012-ST dated 20/6/2012,05.03.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.13.pdf
3.3.12,"Remittance of statutory Taxes (TDS,TCS etc.) through e-payment from a separate Account.",07.05.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.12.pdf
3.3.11,Change in policy for charging depreciation on the capitalized fixed assets of Authority,04.05.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.11.pdf
3.3.10,Operation of Bank Accounts of RO/PIU/CMUs in the event of repatriation of one of the signatory,11.11.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.10.pdf
3.3.9,Re-designation of stenographers on completion of 5 years service as Pas and grant of upgrade scale of Rs.6500-200-10500 as against the present scale of Rs.5500-175-9000/-,11.01.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.9.pdf
3.3.8,"Emoluments to be paid to the Peon,Security guards engaged through placement agency/security agency in PIU/CMU",30.09.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.8.pdf
3.3.7,"Accounting procedure and remittance of toll revenue,shared revenue and negative grant to Ministry for deposit in Consolidated Fund of India (CFI) w.e.f 1.4.2010",22.03.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.7.pdf
3.3.6,Guidelines on computation and payment of Service Tax,01.08.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.6.pdf
3.3.5,Furnishing of PAN by contractors/ supervision consultants whose payment are subject to deduction/ collection of tax at source.,28.06.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.5.pdf
3.3.4,Grant of higher emoluments to Accountants and Stenographers on completion of five years of service on long term contract,25.05.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.4.pdf
3.3.3,Entitlement of short term contract employees,26.02.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.3.pdf
3.3.2,Tax deduction at source of Medical Reimbursement,05.09.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.2.pdf
3.3.1,Guidelines for engagement of individuals by PIUs,21.03.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.1.pdf
3.4.29,Institutional mechanism for redressal of Inter-Ministerial pending issues on NH projects,25.04.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.29.pdf
3.4.28,Policy Circular regarding foreign visit/ tours/delegation/training programmes.,01.12.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.28.pdf
3.4.27,"Providing for increase in wage ceilng under EPS,1995 from Rs.6,500/- to Rs. 15,000/- w.e.f. 01.09.2014.",26.02.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.27.pdf
3.4.26,Signing of the Concession Agreement/ Contract Agreement strictly as per the RFP documents.,15.12.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.26.pdf
3.4.24,Instructions issued by Cabinet Secretary regarding submission of proposals for visits abroad by Ministries/Departments.,13.06.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.24.pdf
3.4.23,"Allotment/retention of Government accommodation to members,NHAI",25.03.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.23.pdf
3.4.22,Public Procurmeent Policy for Micro and Small Enterprise (MSEs)-reg,18.03.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.22.pdf
3.4.21,Facilitation Fee to be levied by authorised travel agents on air tickets booked on Government account.,13.11.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.21.pdf
3.4.20,"Residual service condition for absorption/extension in respect of Manager (Tech),DGM (Tech) and GM (Tech) level officers in NHAI.",12.11.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.20.pdf
3.4.19,Entitlement of diplomatic/ official passports to officers working in autonomous bodies and PSUs,01.10.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.19.pdf
3.4.18,Expenditure Management- Economy Measures and Rationalisation of Expenditure-reg.,20.09.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.18.pdf
3.4.17,Filing the online application form (FC-2 Form) for grant of prior permission for accepting foreign hospitality during foreign visits.,19.09.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.17.pdf
3.4.16,Representation from NHAI in Senior officers meeting at MoRT&H (Members reg),03.09.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.16.pdf
3.4.15,Formation of Joint Working Group between NHAI and DFCCIL,04.07.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.15.pdf
3.4.14,Representation of NHAI in the meetings being taken by Hon?ble Minister (RT&H),02.04.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.14.pdf
3.4.12,Implmentation of Executive Committee decisions-reg.,11.12.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.12.pdf
3.4.13,Invitation from External agencies to events organized by External Agencies for participation in training/workshop/ seminar,26.11.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.13.pdf
3.4.11,Exercise of delgated powers.,25.10.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.11.pdf
3.4.10,Digitalization of all structures executed by NHAI.,20.09.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.10.pdf
3.4.9,Approval of the mnutes of the evaluation committee meetings from concerned Competent Authority (member/ Chairman),13.09.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.9.pdf
3.4.25,Communication with media on NHAI issues,05.06.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.25.pdf
3.4.8,Communication with media on NHAI issues,05.06.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.8.pdf
3.4.7,Policy on issue of Policy Circulars.,02.04.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.7.pdf
3.4.6,Seeking ex-post facto approval-reg.,02.02.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.6.pdf
3.4.4,Standard Operating Procedure for compliance of Internal Audit observations-reg.,24.07.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.4.pdf
3.4.3,Guidelines for issue of inspection notes by officials after site visit/tour,24.10.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.3.pdf
3.4.2,"Regarding Standard Operating Procedure ( SOP ) for dealing with C&AG  Audit “providing requisite Records and submission of Replies and Action Taken Notes in a systematic, time bound manner.",25.03.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.2.pdf
3.4.1,Streamlining the procedure for submission of replies of the inspection report and audit paras to Government audit office-Setting up of Committee for expeditious disposal of audit observations.,24.01.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.1.pdf
3.4.5,Submission of questionnaire for inspection of PIUs/CMUs.,16.05.0008,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.4.5.pdf
1.4.8,Issue of Principal Employer in the matter of PPP-BOT Projects,05.12.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.4.8.pdf
1.4.7,Instruction to prevent misappropriation fo PS dues by the contracts,29.10.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.4.7.pdf
1.4.6,"Guidelines for compliance of provisions under the Contract Labour (Regulations & Abolition) Act,1970.",07.01.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.4.6.pdf
1.4.5,Ex-Gratia amount to the kins of workers looking their life due to accident at work site.,08.03.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/1.4.5.pdf
1.4.4,"Applicability of Building and other construction workers (Regulation of employment and conditions of service) Act,1996 and The Building and other construction workers? Welfare Cess Act 1996- Projects finalized on Public Private Partnership (PPP) ? BOT- Annuity toll",26.02.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.4.4.pdf
1.4.3,"Implementation of Building & Other construction workers Welfare Cess Act,1996 in NHAI.",29.03.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/1.4.3.pdf
1.4.2,Appointment of DGMs of NHAI by Govt of Haryana as Director,25.11.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/1.4.2.pdf
1.4.1,"Contract Labour (Regulation & Abolition) Act,1970 and Rules framed thereunder.",19.08.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/1.4.1.pdf
1.5.6,अधिकारियों एवं कर्मचारियों के बच्‍चों के लिए हिंदी प्रोत्‍साहन पुरस्‍कार योजना (दो बच्‍चों तक सीमित) के अंतर्गत दावा राशि की समयावधि के संबंध में।,01.09.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.5.6.pdf
1.5.5,Amendment in the New Incentive Scheme for promotion of the usage of Hindi in NHAI.,25.01.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.5.5.pdf
1.5.4,Utilization of services of Private secretaries/Personal Assistants/ Stenographers who know Hindi Shorthand/Typing for increasing the use of Hindi in official work.,13.07.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/1.5.4.pdf
1.5.3,Amendment in the New Incentive Scheme for promotion of the usage of Hindi in NHAI.,30.03.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/1.5.3.pdf
1.5.2,New Incentive Scheme for promotion of the usage of Hindi in NHAI.,09.05.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/1.5.2.pdf
1.5.1,Bilingual Logo of NHAI,17.03.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/1.5.1.pdf
1.6.7,Creation of Corridor Management Units in PIUs-reg.,17.05.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.6.7.pdf
1.6.6,आरओएस/पीआईयू के संबंध में कार्यालय भवन के निर्माण के मानदंडों के मानकीकरण के संबंध में  Standardization of Norms of Construction of Office Building in respect of ROs/PIUs- reg.,11.10.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/1.6.6.pdf
1.6.5,NHAI Library Policy,27.04.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/1.6.5.pdf
1.6.4,Creation of six Zonal Offices of NHAI,15.07.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/1.6.4.pdf
1.6.3,Establishment of Regional Offices,01.09.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.6.3.pdf
1.6.2,Setting up of permanent office/residential building of NHAI at different locations.,03.04.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/1.6.2.pdf
1.6.1,Opening of site offices,22.10.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/1.6.1.pdf
7.1.25,Establishment of Detailed Project Report (DPR) Cell at NHAI HQ – Amendments in Policy Circular No. 1.7.1.22/2024 dated 24.05.2024 - reg.,21.01.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.25.pdf
7.1.24,Creation of Asset Monetization Cell (AMC) at NHAI HQ,17.6.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.24.pdf
7.1.23,Hiring of Design Experts to Support Design Division - Reg.,04.05.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.23.pdf
7.1.22,Delegation of Powers pertaining to land acquisiton to Regional officers.,30.04.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.22.pdf
7.1.21,Re-constitution of Internal Complaints Committee (ICC) to inquire into complaints related to Sexual Harassment of Women Employees of NHAI at Workplace – reg.,30.11.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.21.pdf
7.1.20,Re-constitution of Internal Complaints Committee (ICC) to inquire into complaints related to Sexual Harassment of Women Employees of NHAI at workplace – reg.,22.10.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.20.pdf
7.1.19,"डिज़ाइन प्रभाग स्थापित किया जाना।
Setting up of a Design Division.-reg.",30.09.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.19.pdf
7.1.18,Duties & Responsibilities of the Reservation Cell/ Liaison Officers-reg.,24.06.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.18.pdf
7.1.17,Standing Committee for vetting of specifications pertaining to Intelligent Transportation Systems (ITS) - reg.,12.06.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.17.pdf
7.1.16,Format for submission of cases for release of compensation.,17.06.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.16.pdf
7.1.15,Re-constitution of Reservation Cell of NHAI- available at NHAI website.,28.02.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.15.pdf
7.1.14,Constitution of complaints committee to inquire into complaints related to sexual harassment of women employees of NHAI at work place.,19.02.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.14.pdf
7.1.13,Reconstitution of Technology Induction Cell as ?Technology Induction Cell and Quality Assurance Cell?,08.02.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.13.pdf
7.1.12,Procedure for scrutinizing the proposals of estimates of land acquisition and utility shifting,29.01.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.12.pdf
7.1.11,Constitution of Settlement & Negotiation Committees reg.,02.01.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.11.pdf
7.1.10,Constitution of reservation cell in NHAI,03.10.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.10.pdf
7.1.9,Scheduling of Executive Committee meeting on Wednesday,25.08.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.9.pdf
7.1.8,Acquisition of missing plots from bulk acquisition through consent.,30.01.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.8.pdf
7.1.7,"Revised procedure for issuance of land acquisiton notifications subsequent to amendment of the Govt of India (Allocation of Business Rules,1961)-reg.",23.01.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.7.pdf
7.1.6,"Creation of interdepartmental committee for monitoring of projects on continuous basis for ensuring the time and cost bon implementation,monitoring performance of contractors/consultants.",19.12.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.6.pdf
7.1.1,Creation of Planning Cell and Quality Assurance Cell,03.02.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.1.pdf
7.1.5,"Procedure to be followed for land acquisiton subsequent to amendment of the Govt of India (Allocation of Business Rules,1961)-reg.",29.09.0005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.5.pdf
7.1.4,Creation of Legal and Arbitration Cell,10.5.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.4.pdf
7.1.3,Change of Record of Rights (RoR) by the State Governments through which the National Highways are pasing to the Central Government in Revenue Records-reg.,23.12.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.3.pdf
7.1.2,Guidelines for processing of cases for land acquisition,13.05.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.1.2.pdf
7.2.8,Inclusion of Utility Shifting works in the RFPs/Bids as part of Civil Construction under Hybrid Annuity and EPC mode -reg.,06.03.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.2.8.pdf
7.2.7,Procedure for processing of cases of Utility Shifting,19.09.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.2.7.pdf
7.2.6,"Delegation of Powers to CGMs regarding shifting of uitlities,extension of time in consultancy contracts and encashment/release of BGs.",30.12.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.2.6.pdf
7.2.5,Policy for sanction and payment of electrical utility shifting estimates.,27.1.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.2.5.pdf
7.2.4,Issues related to Execution of Utility Shifting work in BOT contracts.,07.03.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.7.2.4.pdf
